57-2008,,2007,12,10,,,,EUR 4 000 000 excluding,,Production and supply of mini-books on EU-related themes and products for their presentation. ,"Production and delivery of mini-books and their by-products in all EU languages from base material provided by Justice, Freedom and Security DG. ",1,7,22100000;78110000;78311000,The conclusion of a framework agreement.,No.,,"European Commission — Justice, Liberty and Security DG",european-commission-justice-liberty-and-security-dg,European institution/agency or European organisation.;The contracting authority is purchasing on behalf of other contracting authorities: no. ,BE,Bruxelles/Brussel,LUX46,1049,JLS-A5-Info-Comm@ec.europa.eu,(32-2) 298 10 27,http://ec.europa.eu/justice_home/index_en.htm,,,,,excluding,,,,,excluding,,1,,,,,,,,,,
62-2008,,2008,,,,,,"EUR 555 854, excluding",,COMP/2007/F4/020.,Provision of expert assistance and consulting services for the assessment of Mytravel's damages action in Case T-212/03 Mytravel Group plc v European Commission before the Court of First Instance (CFI) including any appeal of the judgment of the CFI to the European Court of Justice (ECJ).,1,7,67111000;67112000,The conclusion of a framework agreement.,"Yes. Value or proportion of the contract likely to be subcontracted to third parties:;EUR 73 719, excluding VAT.;Short description of the value/proportion of the contract to be sub-contracted: UK legal counsels' fees. ",,"European Commission, Competition DG — Directorate R",european-commission-competition-dg-directorate-r,European institution/agency or international organisation.;General public services.;The contracting authority is purchasing on behalf of other contracting authorities: no. ,BE,Bruxelles/Brussel,J-70 05/174,1049,,(32-2) 299 88 59,http://ec.europa.eu/comm/competition/index_en.html,,,,,excluding,,,,,,,1,,,,,,,,,,
64-2008,,2007,12,19,,,,,,Rental of copy machines.,Rental of copy machines.,2,7,30121100,,No.,,ETF,etf,European institution/agency or international organisation.;Education.;The contracting authority is purchasing on behalf of other contracting authorities: no.,IT,Turin,"Villa Gualino, Viale Settimio Severo 65",10133,legal.services@etf.europa.eu,(39) 01 16 30 22 22,www.etf.europa.eu,,,,,Excluding,,,,,,,6,,,,,,,,,,
65-2008,,2007,10,4,,,,"EUR 235 570, excluding",,Update of the European standard quality guidelines. ,Methodological work for updating the European standard documents for assessing the quality of statistics. ,2,7,74130000,,Yes. Value or proportion of the contract likely to be subcontracted to third parties:;proportion: 45.0 %. ,,European Commission,european-commission,European institution/agency or international organisation. ;The contracting authority is purchasing on behalf of other contracting authorities: no. ,LU,Luxembourg,rue Alcide de Gasperi,2920,ESTAT-Call-for-tenders-unit-02@ec.europa.eu,(352) 43 01-35774,,Eurostat,,,,excluding,,,,,excluding,,4,,,,,,,,,,
66-2008,,2007,9,4,,,,,,Support to rolling reviews. ,"Refinement of methodology for rolling reviews and implementation of reviews, technical support for the implementation of rolling reviews. ",2,7,74133000,,No.,,European Commission,european-commission,European institution/agency or international organisation. ;The contracting authority is purchasing on behalf of other contracting authorities: no. ,LU,Luxembourg,rue Alcide de Gasperi,2920,ESTAT-Call-for-tenders-unit-02@ec.europa.eu,(352) 43 01-35774,,Eurostat,,,,excluding,,,,,excluding,,3,,,,,,,,,,
67-2008,,2007,11,13,,,,EUR 3 000 000 excluding,,"Framework contract to implement a programme for paper and/or electronic publications on European employment, social affairs and equal opportunities policy. ","The aim of the framework contract is to assist the Employment, Social Affairs and Equal Opportunities DG in implementing its programme of publications. As the Office for Official Publications of the European Communities takes responsibility for most of the printing work, the assistance required will mainly involve tasks to be carried out prior to printing, namely, writing and rewriting of texts, translation and graphic design, amongst others. The contract will take the form of a framework contract, as the exact quantities involved and the dates on which the various services in the contract are to be provided cannot be precisely established. Due to the synergies between the various tasks to be performed, the framework contract will not be divided into lots. ",2,7,78200000;78220000;78225000;74422000;74831300,The conclusion of a framework agreement.,Yes. ;Value or proportion of the contract likely to be subcontracted to third parties: not known. ,,European Commission,european-commission,European institution/agency or European organisation.,BE,Bruxelles/Brussel,Office J-27 4/4,1049,EMPL-H3-tenders@ec.europa.eu,,http://ec.europa.eu/employment_social/emplweb/tenders/index_fr.cfm,"Employment, Social Affairs and Equal Opportunities DG",,,,excluding,,,,,,,7,,,,,,,,,,
72-2008,,2007,11,5,,,,,,A study on qualifications routes and competences needed by career guidance counsellors. ,The present call for tenders aims at commissioning a study on the qualifications and professional development routes for career guidance staff. The contractor will also be required to design a common competence-based framework for guidance practitioners. ,2,7,73000000,,No.,,CEDEFOP,cedefop,European institution/agency or international organisation. ;The contracting authority is purchasing on behalf of other contracting authorities: no.,GR,Thessaloniki,"123, Europe Street — PO BOX 22427",55102,c4t-services@cedefop.europa.eu,(30-2310) 49 02 87,,,,,,,,,,,,,2,,,,,,,,,,
74-2008,,2007,10,10,,EUR,,,,Services regarding provision of credit cards.,Provision of credit cards and related services for officials and civil servants of the EU institutions and agencies whom the contract concerns.,1,7,66130000,The conclusion of a framework agreement.,No.,,European Commission,european-commission,European institution/agency or European organisation.,BE,Bruxelles/Brussel,SC-11 6/32,1049,,,,"Personnel and Administration DG, Directorate D — Resources, ADMIN D.1 — Budget and Contractual Support",,EUR,,,,,,,,,2,,,,,,,,,,
75-2008,,2007,11,7,,EUR,,,,"Audio, photo, video and multimedia laboratory work, and related supplies and services",The contract involves the storing and conservation of audiovisual documents.,2,7,63120000,The conclusion of a framework agreement.,No.,,European Commission,european-commission,European institution/agency or European organisation.;General public services.;The contracting authority is purchasing on behalf of other contracting authorities: no.,BE,Bruxelles/Brussel,BERL 4/363,1049,Fabrizia.de-rosa@ec.europa.eu,(32-2) 299 90 11,http://ec.europa.eu/comm/avservices/,"Directorate-General for Communication — Unit COMM.C1, Audiovisual Service",,EUR,,,,,,,,,1,,,,,,,,,,"Lot III relating to storing and conservation was not awarded during the open procedure launched in 2006, as the only offer received was inadmissible (see award notice 2007/S104-127571 of 2.6.2007). The contracting authority decided to launch a negotiated procedure, in accordance with Article 127(a) on the detailed rules for implementation of the Financial Regulation."
78-2008,,2008,,,,,,"EUR 470 000, excluding",,Survey and analysis of the EU ICT security industry and market for products and services — SMART 2007/0005. ,"Survey and structural analysis of the EU market for ICT security products and services. There is need of a comprehensive view of the fragmented EU ICT security products and services market to implement COM(2006)251: The first step is to build a strategic partnership with MS and business to define EU ICT security industrial policy. ;The study will provide: ;1. market survey, ;2. analysis of the causes of market structure and reasons for fragmentation. ",2,7,74131100,,"Yes. Value or proportion of the contract likely to be sub-contracted to third parties: EUR 139 600, excluding VAT.;Short description of the value/proportion of the contract to be subcontracted: complementary expertise and consumer and business surveys. ",,European Commission,european-commission,European institution/agency or international organisation.;General public services.;The contracting authority is purchasing on behalf of other contracting authorities: no. ,BE,Bruxelles/Brussel,Avenue du Bourget 1–3,1049,michael.niebel@ec.europa.eu,(32-2) 296 33 44,,"Directorate-General Information Society and Media, Directorate A — Unit A3: Internet; Network and Information Security",,,,excluding,,,,,excluding,,7,,,,,,,eviola@idc.com,,http://www.idc.com,
